language,id,name,region,country,gender,url
malayalam,2578,malayalam6,"kasaragod, kerala",india,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2578
malayalam,2579,malayalam7,"bangalore, kerala",india,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2579
malayalam,2972,malayalam8,"trivandrum, kerala",india,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2972
maltese,409,maltese1,mosta,malta,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=409
maltese,1359,maltese2,marsa,malta,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1359
mancagne,790,mankanya1,goudomp,senegal,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=790
mandarin,931,mandarin20,ping tong,taiwan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=931
mandarin,2365,mandarin79,johor bahru,malaysia,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2365
mandingo,263,mandingo1,freetown,sierra leone,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=263
mandingue,789,mandinka1,ziguinchor,senegal,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=789
marathi,264,marathi1,bombay,india,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=264
marathi,265,marathi2,madras,india,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=265
marathi,837,marathi3,bombay,india,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=837
marathi,2293,marathi4,bombay,india,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2293
marathi,2309,marathi5,bombay,india,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2309
marathi,2417,marathi6,"nagpur, maharashtra",india,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2417
marathi,2456,marathi7,bombay,india,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2456
marathi,2587,marathi8,bombay,india,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2587
marathi,2611,marathi9,"bombay, maharashtra",india,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2611
marathi,2763,marathi10,"chiplun, maharashtra",india,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2763
marathi,2869,marathi11,"bombay, maharashtra",india,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2869
masbatenyo,2694,masbatenyo1,"osun, masbate",philippines,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2694
mauritian,266,mauritian1,port louis,mauritius,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=266
mauritian,1935,mauritian2,grand port,mauritius,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1935
mauritian,2297,mauritian3,rose hill,mauritius,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2297
mende,436,mende1,harbel,liberia,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=436
mende,603,mende2,freetown,sierra leone,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=603
mende,1986,mende3,freetown,sierra leone,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1986
miskito,2067,miskito1,"krinkrin, rio coco",nicaragua,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2067
miskito,2068,miskito2,"bilwi, puerto cabezas",nicaragua,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2068
miskito,2069,miskito3,"bilwi, puerto cabezas",nicaragua,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2069
miskito,2070,miskito4,"bilwi, puerto cabezas",nicaragua,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2070
miskito,2071,miskito5,"bilwi, puerto cabezas",nicaragua,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2071
miskito,2082,miskito6,"bilwi, puerto cabezas",nicaragua,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2082
miskito,2083,miskito7,"bilwi, puerto cabezas",nicaragua,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2083
miskito,2088,miskito8,"walakitang, rio coco",nicaragua,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2088
miskito,2089,miskito9,"bilwi, puerto cabezas",nicaragua,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2089
miskito,2090,miskito10,"kum, rio coco",nicaragua,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2090
miskito,2093,miskito11,"bilwi, puerto cabezas",nicaragua,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2093
moba,999,moba1,mango,togo,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=999
mongolian,1842,mongolian8,"jining, inner mongolia",china,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1842
montenegrin,988,serbian14,podgorica,montenegro,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=988
